ID,TIMESTAMP,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10
1,2025-01-01,1,2,3,4,5,6,7,1,2,3
2,2025-01-01,3,4,2,7,4,1,5,6,6,6
3,2025-01-01,1,2,4,4,1,7,5,1,1,4
4,2025-01-01,1,3,3,2,4,5,1,2,2,5
5,2025-01-01,6,7,1,2,3,4,5,6,7,1
6,2025-01-01,7,4,7,5,7,4,2,3,5,4
7,2025-01-01,7,6,5,4,3,2,1,2,3,4
8,2025-01-01,7,4,3,5,3,4,4,1,4,3
9,2025-01-01,1,1,1,1,1,1,1,1,1,1
10,2025-01-01,3,3,3,3,3,3,3,3,3,3
11,2025-01-01,4,4,5,3,1,,3,3,1,7
12,2025-01-01,1,6,5,2,8,5,1,6,1,7
13,2025-01-01,7,0,3,1,3,2,2,3,1,7
14,2025-01-01,3,4,4,2,5,5,1,4,1,7
15,2025-01-01,1,1,5,1,1,2,2,6,1,7
16,2025-01-01,1,1,1,3,5,6,1,5,1,7
17,2025-01-01,4,5,2,7,3,2,1,7,1,7
18,2025-01-01,4,2,3,7,4,5,6,6,1,7
19,2025-01-01,2,1,7,6,5,4,3,2,1,7
20,2025-01-01,6,6,5,3,7,6,1,6,1,7
21,2025-01-01,6,4,6,6,4,4,1,3,1,7
22,2025-01-01,2,4,3,5,2,3,7,5,1,7
23,2025-01-01,6,4,6,4,2,2,6,1,1,7
24,2025-01-01,2,6,2,5,6,2,5,1,1,7
25,2025-01-01,5,3,4,1,4,5,2,6,1,7
26,2025-01-01,2,1,4,7,1,6,6,1,1,7
27,2025-01-01,5,6,2,4,6,6,3,4,1,7
28,2025-01-01,5,4,1,6,4,3,4,7,1,7
29,2025-01-01,3,2,7,5,3,7,4,6,1,7
30,2025-01-01,2,2,1,4,2,3,7,4,1,7
31,2025-01-01,6,3,6,3,1,4,5,7,1,7
32,2025-01-01,7,5,6,3,7,7,1,7,1,7
33,2025-01-01,7,2,6,6,2,5,1,3,1,7
34,2025-01-01,3,2,6,3,6,6,4,7,1,7
35,2025-01-01,7,4,2,5,5,5,1,6,1,7
36,2025-01-01,6,1,6,7,7,2,4,3,1,7
37,2025-01-01,5,4,3,7,6,5,5,7,1,7
38,2025-01-01,5,4,4,5,1,5,7,3,1,7
39,2025-01-01,2,2,1,7,7,5,7,5,1,7
40,2025-01-01,3,7,6,7,5,7,2,4,1,7
41,2025-01-01,4,4,5,6,6,6,6,3,1,7
42,2025-01-01,3,2,3,5,1,3,3,6,1,7
43,2025-01-01,5,7,7,5,7,6,5,3,1,7
44,2025-01-01,5,4,1,4,4,6,6,5,1,7
45,2025-01-01,2,2,2,5,1,7,5,2,1,7
46,2025-01-01,3,1,7,3,6,5,3,6,1,7
47,2025-01-01,7,5,2,6,1,2,3,5,1,7
48,2025-01-01,5,6,5,2,4,1,5,7,1,7
49,2025-01-01,6,7,7,4,2,1,5,2,1,7
50,2025-01-01,1,3,6,3,7,3,6,3,1,7
51,2025-01-01,3,1,7,2,7,5,5,2,1,7
52,2025-01-01,5,5,7,2,2,6,6,4,1,7
53,2025-01-01,2,2,5,4,5,7,3,7,1,7
54,2025-01-01,5,2,2,5,6,5,1,7,1,7
55,2025-01-01,7,3,6,7,7,1,4,3,1,7
56,2025-01-01,3,5,5,3,2,3,5,2,1,7
57,2025-01-01,2,5,4,7,1,7,3,3,1,7
58,2025-01-01,3,2,7,5,6,5,1,4,1,7
59,2025-01-01,1,4,6,2,3,2,7,5,1,7
60,2025-01-01,4,3,2,6,3,7,5,3,1,7
61,2025-01-01,6,7,5,7,3,3,3,6,1,7
62,2025-01-01,4,5,2,5,7,5,2,6,1,7
63,2025-01-01,3,6,1,3,7,4,2,6,1,7
64,2025-01-01,1,1,2,5,1,1,6,1,1,7
65,2025-01-01,2,7,6,4,1,2,7,5,1,7
66,2025-01-01,4,4,3,1,6,7,5,2,1,7
67,2025-01-01,1,6,5,2,2,7,3,2,1,7
68,2025-01-01,2,4,1,7,3,4,1,2,1,7
69,2025-01-01,3,1,1,4,4,7,4,7,1,7
70,2025-01-01,7,5,1,5,7,6,6,2,1,7
71,2025-01-01,1,7,3,5,1,5,3,4,1,7
72,2025-01-01,4,4,4,5,6,7,7,7,1,7
73,2025-01-01,5,1,5,3,7,6,6,6,1,7
74,2025-01-01,4,2,3,7,2,2,1,5,1,7
75,2025-01-01,6,3,3,6,4,7,2,6,1,7
76,2025-01-01,4,4,7,2,4,4,3,3,1,7
77,2025-01-01,3,2,3,3,4,5,3,7,1,7
78,2025-01-01,1,4,5,3,5,7,3,6,1,7
79,2025-01-01,6,2,6,5,5,6,4,7,1,7
80,2025-01-01,1,3,2,4,5,1,4,2,1,7
81,2025-01-01,1,6,6,5,5,2,2,7,1,7
82,2025-01-01,6,6,2,3,1,6,5,1,1,7
83,2025-01-01,6,1,2,6,1,4,4,3,1,7
84,2025-01-01,7,2,4,1,3,4,7,5,1,7
85,2025-01-01,6,5,4,4,4,7,5,3,1,7
86,2025-01-01,7,1,7,1,7,1,4,5,1,7
87,2025-01-01,1,2,5,7,1,5,7,4,1,7
88,2025-01-01,1,3,3,7,5,6,5,2,1,7
89,2025-01-01,6,4,7,2,5,2,7,2,1,7
90,2025-01-01,3,2,1,4,7,2,3,7,1,7
91,2025-01-01,5,5,2,4,6,5,2,3,1,7
92,2025-01-01,2,7,4,6,6,1,2,6,1,7
93,2025-01-01,6,7,6,5,4,1,4,7,1,7
94,2025-01-01,3,4,1,3,6,2,1,5,1,7
95,2025-01-01,3,2,5,2,1,7,4,6,1,7
96,2025-01-01,3,6,2,6,1,4,7,1,1,7
97,2025-01-01,5,7,1,2,6,3,4,6,1,7
98,2025-01-01,1,3,4,3,2,6,1,3,1,7
99,2025-01-01,6,3,4,6,1,1,5,5,1,7
100,2025-01-01,6,3,3,5,2,4,4,5,1,7